sort_no,term,definition,category,example,source_page,difficulty,tags
1,源远流长,源头远，水流长。也比喻历史悠久。,第一组 中华文明传统文化,,1,,
2,连绵不绝,意思是连续而不中断。,第一组 中华文明传统文化,,1,,
3,博大精深,博大：广大。精深：精湛深刻。形容学识、思想、理论广博丰富，精湛深刻。,第一组 中华文明传统文化,,1,,
4,历久弥新,弥：更加。指经历长久的时间而更加鲜活，更加有活力，更显价值。,第一组 中华文明传统文化,,1,,
5,兼容并蓄,并：一起。蓄：积聚，储存。对不同的人或事物都能同时收容保留。,第一组 中华文明传统文化,,1,,
6,一脉相承,下来。比喻人或事物间的传承关系。也作“一脉相传”“一脉相通”。一脉：指一个血统或一个派系。相承：相续传承。由一个血统或一个派别世代相传承袭,第二组 文化传承,,1,,
7,血脉相通,血脉：血统。原指有血缘亲属关系。也比喻极亲近的关系。意思是比喻学问和技艺代代相传。比喻师生授受不绝，或种族、血统、文化精神的传,第二组 文化传承,,1,,
8,薪火相传,承，绵延不尽。,第二组 文化传承,,1,,
9,不绝如缕,绝：断。缕：细线。像一根细线那样，似断非断。也作“不绝若线”。比喻情势危急。,第二组 文化传承,,1,,
10,陈陈相因,粮仓里的米谷一年接一年地堆积起来。比喻沿袭老一套，没有改进。,第二组 文化传承,,1,,
11,口耳相传,口说耳听，递相传授。衣：佛教僧尼穿的袈裟。钵：僧尼化缘盛饭的钵盂。,第二组 文化传承,,1,,
12,衣钵相传,原为佛家语。中国禅宗师父将道法传授给徒弟时常常举行授予衣钵的仪式。现用以比喻一般师徒、父子之间思想、技能、学问的继承和传授。,第二组 文化传承,,1,,
13,后继无人,继：继续，继承。没有继承的人。形容事业缺少接班人。,第二组 文化传承,,1,,
14,难以为继,难以继续下去。,第二组 文化传承,,1,,
15,继往开来,继承前人的事业，开辟未来的道路。,第二组 文化传承,,1,,
16,承上启下,接续上面的，引起下面的。也指青文中连接沟通文字的字句，使文字自然过瘦。,第二组 文化传承,,1,,
17,推陈出新,推去旧的，产生新的。后多指在文化艺术方面去掉旧的糟粕，吸取其精华，创造出新的来。（多形容文化但不绝对,第三组 改革创新,,1,,
18,吐故纳新,纳：使进入，吸入。道家的养生术，吐出浊气，吸进新鲜空气。后多比喻扬弃旧的，吸收新的。（多形容事物在发展中呈现新的面貌）,第三组 改革创新,,1,,
19,革故鼎新,【（多政治角度）革：除去。鼎新：立新。指革除旧的，建立新的。多指改朝换代或重大变革。,第三组 改革创新,,1,,
20,弃旧图新,意思是抛弃旧的，谋求新的。多指由坏的转向好的，离开错误的道路走向正确的道路。,第三组 改革创新,,1,,
21,去芜存菁,意思是除去杂质、保留精华。,第三组 改革创新,,1,,
22,除旧布新,意思是清除旧的，建立新的；以新的代替旧的。强调通过主动干预清除负面因素并弘扬正面价值。,第三组 改革创新,,1,,
